High To Open,Low To Open,Close To Open,High To Low,Volume
0.0017812819,-0.0006132282,0.0017812819,0.0023959794,17.65567
0.0021281558,0.0000000000,0.0021281558,0.0021281558,22.80066
0.0063370251,0.0000000000,0.0051742682,0.0063370251,64.41007
0.0000000000,-0.0067981949,-0.0048310576,0.0068447266,13.23028
0.0005812602,-0.0012497094,0.0001453150,0.0018332606,16.16078
0.0007553528,-0.0030214113,-0.0022660585,0.0037882099,16.22359
0.0015136520,-0.0002910869,0.0003201956,0.0018052644,6.30694
0.0004363129,-0.0017161639,-0.0003199628,0.0021561772,6.38074
0.0013092814,-0.0009892348,0.0001745708,0.0023007922,5.446
0.0003198232,-0.0020352387,-0.0020352387,0.0023598648,6.38902
0.0006405963,-0.0015432548,0.0003202982,0.0021872266,9.43132
0.0005240022,-0.0031149020,-0.0025908998,0.0036502745,12.83642
0.0006707691,-0.0022747820,0.0001749832,0.0029522668,11.73973
0.0011957885,-0.0002041590,0.0010791262,0.0014002334,2.88861
0.0027104220,-0.0006411751,0.0027104220,0.0033537474,9.92424
0.0022080186,-0.0003486345,0.0020337013,0.0025575448,29.80701
0.0014796762,-0.0010154641,0.0012765834,0.0024976766,24.24078
0.0011006198,-0.0011585472,0.0011006198,0.0022617874,11.27372
0.0000000000,-0.0025452652,-0.0023428009,0.0025517601,11.05847
0.0007534485,-0.0000289788,0.0007244697,0.0007824499,3.66999
